"key","description"
"TOMO_opticsEyePiece","Magnification factor obtained from optics name"
"TOMO_opticsType","Optics type"
"TOMO_pixelSizeCorrect","Manual pixel size"
"TOMO_projN","Projections NUMERIC"
"TOMO_propagationDistance","It is the propagation distance, i.e. distance between the sample and the detector."
"TOMO_readSrcur","Read beam intensity in real time if set"
"TOMO_readoutTime","Detector readout time"
"TOMO_refN","Reference images NUMERIC"
"TOMO_refOn","Reference images every REF_ON projections"
"TOMO_refPower","Manage references motor power if set"
"TOMO_roundingCorrection","Apply rounding corrections when steps/projs not int if set"
"TOMO_safeTime","Extra readout time for detector at each projection"
"TOMO_saveSeparateDarkImage","Do not save a unique dark file if set"
"TOMO_scanGeometry","half acquisition means that each frame is half of the field of view, with the center of rotation on the side. i.e. you need 360 degrees to cover the complete field of view. You can also find simple scans that can be either on 180 degres or on 360 degres with the center of rotation in the middle, and in all these data, we also have quarter-acquisition scans, that are made with one half-acquisition + one annular scan (the center of rotation is out of the field of view for this last one). We then need both the genometry and the angular range of the scan to describbe fully the scanning geometry."
"TOMO_scanRadix","All these datasets are resulting from series of scans (typically moving in z, but also for one of them in y). The ScanRadix is then the original common part of the name of all the subscans. It is what could be used to research the original radiographs in iCAT for instance"
"TOMO_scanRange","Rotation range for tomography"
"TOMO_scanTime","it is the insertion device when you are on an ID beamline"
"TOMO_scintillator","Scintillator name"
"TOMO_seriesTime","it is the insertion device when you are on an ID beamline"
"TOMO_shiftTurns","Number of shifted turns"
"TOMO_software","Hostname + fasttomo,mac path and date"
"TOMO_sourceSampleDistance","Source sample distance"
"TOMO_speedCorrFactor","Rotation speed correction factor"
"TOMO_srcurStart","Beam intensity before scan"
"TOMO_srcurStop","Beam intensity after sacn"
"TOMO_sx0","Focus position"
"TOMO_technique","Technique used like Hierachical Phase-Contrast Tomography"
"TOMO_unbinnedPixelSize","Original (image) pixel size without binning"
"TOMO_vacuumName","Vacuum names"
"TOMO_vacuumValue","Vacuum values"
"TOMO_xStages","it correspond to the number of scan in a given series, and indicates if these scans have been done along x axis. For all of them except one, it is in z, but as we have one in y direction, I had to introduce directly the three possibilities to cover all the possible cases. AS it is also possible to have several columns for a single final volume, it would be possible to have cases where the x,y and z stages are altogether higher than 1 (3D mozaic scan)"
"TOMO_x_volume","size in pixel of the reconstructed volume in respective x y and z . if you multiply the three together and then by 2, you have the total size of the dataset without compression"
"TOMO_xshutterTime","Detector shutter closing time during readout"
"TOMO_yStages","it correspond to the number of scan in a given series, and indicates if these scans have been done along y axis. For all of them except one, it is in z, but as we have one in y direction, I had to introduce directly the three possibilities to cover all the possible cases. AS it is also possible to have several columns for a single final volume, it would be possible to have cases where the x,y and z stages are altogether higher than 1 (3D mozaic scan)"
"TOMO_yStep","Sample translation for reference images"
"TOMO_y_volume","size in pixel of the reconstructed volume in respective x y and z . if you multiply the three together and then by 2, you have the total size of the dataset without compression"
"TOMO_zStages","it correspond to the number of scan in a given series, and indicates if these scans have been done along z axis. For all of them except one, it is in z, but as we have one in y direction, I had to introduce directly the three possibilities to cover all the possible cases. AS it is also possible to have several columns for a single final volume, it would be possible to have cases where the x,y and z stages are altogether higher than 1 (3D mozaic scan)"
"TOMO_zStep","Sample vertical translation for reference images"
"TOMO_z_volume","size in pixel of the reconstructed volume in respective x y and z . if you multiply the three together and then by 2, you have the total size of the dataset without compression"
"beamlineID","ID of the beamline"
"datasetName","Name of the dataset"
"definition","Techniques used to collect this dataset"
"endDate","Scan ending date"
"location","Scan starting date"
"proposal","Proposal code"
"saxs_definition","Technique used to collect this dataset"
"saxs_definition.version","Version"
"scanNumber","Scan number"
"scanType","Scan type can be `step_by_step` or `continuous`"
"startDate","Scan starting date"
"xrf_definition","Technique used to collect this dataset"
